[TEST]: Start
[MMAP]: 0xE000A000: 0x00003A01
[MMAP]: 0xE000A004: 0x00000000
[MMAP]: 0xE000A008: 0x00004000
[MMAP]: 0xE000A00C: 0x0000000F
[MMAP]: 0xE000A010: 0x00000100
[MMAP]: 0xE000A014: 0x00000000
[MMAP]: 0xE000A018: 0x00000000
[MMAP]: 0xE000A01C: 0x00000000
[MMAP]: 0xE000A020: 0x00000000
[MMAP]: 0xE000A024: 0x00000000
[MMAP]: 0xE000A028: 0x00000000
[MMAP]: 0xE000A02C: 0x00000000
[MMAP]: 0xE000A030: 0x00000000
[MMAP]: 0xE000A034: 0x00000000
[MMAP]: 0xE000A038: 0x00000000
[MMAP]: 0xE000A03C: 0x00000000
[MMAP]: 0xE000A040: 0x00003A01
[MMAP]: 0xE000A044: 0x000F4000
[MMAP]: 0xE000A048: 0x00000100
[MMAP]: 0xE000A04C: 0x00000000
[MMAP]: 0xE000A050: 0x00000000
[MMAP]: 0xE000A054: 0x00000000
[MMAP]: 0xE000A058: 0x00000000
[MMAP]: 0xE000A05C: 0x00000000
[MMAP]: 0xE000A060: 0x00003A01
[MMAP]: 0xE000A064: 0x000F4000
[MMAP]: 0xE000A068: 0x00000000
[MMAP]: 0xE000A06C: 0x00000000
[MMAP]: 0xE000A070: 0x00000000
[MMAP]: 0xE000A074: 0x00000000
[MMAP]: 0xE000A078: 0x00000000
[MMAP]: 0xE000A07C: 0x00000000
[MMAP]: 0xE000A080: 0x00000000
[MMAP]: 0xE000A084: 0x00000000
[MMAP]: 0xE000A088: 0x00000000
[MMAP]: 0xE000A08C: 0x00000000
[MMAP]: 0xE000A090: 0x00000000
[MMAP]: 0xE000A094: 0x00000000
[MMAP]: 0xE000A098: 0x00000000
[MMAP]: 0xE000A09C: 0x00000000
[MMAP]: 0xE000A0A0: 0x00000000
[MMAP]: 0xE000A0A4: 0x00000000
[MMAP]: 0xE000A0A8: 0x00000000
[MMAP]: 0xE000A0AC: 0x00000000
[MMAP]: 0xE000A0B0: 0x00000000
[MMAP]: 0xE000A0B4: 0x00000000
[MMAP]: 0xE000A0B8: 0x00000000
[MMAP]: 0xE000A0BC: 0x00000000
[MMAP]: 0xE000A0C0: 0x00000000
[MMAP]: 0xE000A0C4: 0x00000000
[MMAP]: 0xE000A0C8: 0x00000000
[MMAP]: 0xE000A0CC: 0x00000000
[MMAP]: 0xE000A0D0: 0x00000000
[MMAP]: 0xE000A0D4: 0x00000000
[MMAP]: 0xE000A0D8: 0x00000000
[MMAP]: 0xE000A0DC: 0x00000000
[MMAP]: 0xE000A0E0: 0x00000000
[MMAP]: 0xE000A0E4: 0x00000000
[MMAP]: 0xE000A0E8: 0x00000000
[MMAP]: 0xE000A0EC: 0x00000000
[MMAP]: 0xE000A0F0: 0x00000000
[MMAP]: 0xE000A0F4: 0x00000000
[MMAP]: 0xE000A0F8: 0x00000000
[TEST]: Finish
